date,delivery_point,point_type,curve_name,value
2020-11-02,Stublach,ugs,Opening Stock,4833960029.0
2020-11-03,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-03,South Hook,lng_terminal,Opening Stock,2292994967.0
2020-11-03,Dragon,lng_terminal,Opening Stock,1066599549.0
2020-11-03,Isle Of Grain,lng_terminal,Opening Stock,4514807427.0
2020-11-03,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-03,Aldbrough,ugs,Opening Stock,2519373029.0
2020-11-03,Hornsea,ugs,Opening Stock,2594447131.0
2020-11-03,Holford,ugs,Opening Stock,2311924777.0
2020-11-03,Hill Top,ugs,Opening Stock,360611750.0
2020-11-03,Stublach,ugs,Opening Stock,4973927945.0
2020-11-04,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-04,South Hook,lng_terminal,Opening Stock,2055065176.0
2020-11-04,Dragon,lng_terminal,Opening Stock,895307676.0
2020-11-04,Isle Of Grain,lng_terminal,Opening Stock,5334610458.0
2020-11-04,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-04,Aldbrough,ugs,Opening Stock,2491828891.0
2020-11-04,Hornsea,ugs,Opening Stock,2582727849.0
2020-11-04,Holford,ugs,Opening Stock,2262563429.0
2020-11-04,Hill Top,ugs,Opening Stock,348852863.0
2020-11-04,Stublach,ugs,Opening Stock,4924270290.0
2020-11-05,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-05,South Hook,lng_terminal,Opening Stock,3083857280.0
2020-11-05,Dragon,lng_terminal,Opening Stock,1625708347.0
2020-11-05,Isle Of Grain,lng_terminal,Opening Stock,5163647002.0
2020-11-05,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-05,Aldbrough,ugs,Opening Stock,2469097445.0
2020-11-05,Hornsea,ugs,Opening Stock,2576147226.0
2020-11-05,Holford,ugs,Opening Stock,2136570453.0
2020-11-05,Hill Top,ugs,Opening Stock,348852863.0
2020-11-05,Stublach,ugs,Opening Stock,4875985271.0
2020-11-06,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-06,South Hook,lng_terminal,Opening Stock,2793598376.0
2020-11-06,Dragon,lng_terminal,Opening Stock,1652394797.0
2020-11-06,Isle Of Grain,lng_terminal,Opening Stock,4834096657.0
2020-11-06,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-06,Aldbrough,ugs,Opening Stock,2454047552.0
2020-11-06,Hornsea,ugs,Opening Stock,2576147226.0
2020-11-06,Holford,ugs,Opening Stock,2020808397.0
2020-11-06,Hill Top,ugs,Opening Stock,348852863.0
2020-11-06,Stublach,ugs,Opening Stock,4822302680.0
2020-11-07,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-07,South Hook,lng_terminal,Opening Stock,2489293212.0
2020-11-07,Dragon,lng_terminal,Opening Stock,1513629748.0
2020-11-07,Isle Of Grain,lng_terminal,Opening Stock,4487038427.0
2020-11-07,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-07,Aldbrough,ugs,Opening Stock,2454047552.0
2020-11-07,Hornsea,ugs,Opening Stock,2562072360.0
2020-11-07,Holford,ugs,Opening Stock,1979720965.0
2020-11-07,Hill Top,ugs,Opening Stock,333155364.0
2020-11-07,Stublach,ugs,Opening Stock,4805895907.0
2020-11-08,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-08,South Hook,lng_terminal,Opening Stock,3384550279.0
2020-11-08,Dragon,lng_terminal,Opening Stock,1387930233.0
2020-11-08,Isle Of Grain,lng_terminal,Opening Stock,5157636255.0
2020-11-08,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-08,Aldbrough,ugs,Opening Stock,2421653757.0
2020-11-08,Hornsea,ugs,Opening Stock,2549526551.0
2020-11-08,Holford,ugs,Opening Stock,1947863187.0
2020-11-08,Hill Top,ugs,Opening Stock,333155364.0
2020-11-08,Stublach,ugs,Opening Stock,4776074119.0
2020-11-09,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-09,South Hook,lng_terminal,Opening Stock,3228369618.0
2020-11-09,Dragon,lng_terminal,Opening Stock,1389346238.0
2020-11-09,Isle Of Grain,lng_terminal,Opening Stock,5094881044.0
2020-11-09,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-09,Aldbrough,ugs,Opening Stock,2421653757.0
2020-11-09,Hornsea,ugs,Opening Stock,2549526551.0
2020-11-09,Holford,ugs,Opening Stock,1947863187.0
2020-11-09,Hill Top,ugs,Opening Stock,333155364.0
2020-11-09,Stublach,ugs,Opening Stock,4810948465.0
2020-11-10,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-10,South Hook,lng_terminal,Opening Stock,3076328592.0
2020-11-10,Dragon,lng_terminal,Opening Stock,1309899880.0
2020-11-10,Isle Of Grain,lng_terminal,Opening Stock,4864845956.0
2020-11-10,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-10,Aldbrough,ugs,Opening Stock,2396742616.0
2020-11-10,Hornsea,ugs,Opening Stock,2525524902.0
2020-11-10,Holford,ugs,Opening Stock,1947863187.0
2020-11-10,Hill Top,ugs,Opening Stock,333155364.0
2020-11-10,Stublach,ugs,Opening Stock,4818278739.0
2020-11-11,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-11,South Hook,lng_terminal,Opening Stock,2915239196.0
2020-11-11,Dragon,lng_terminal,Opening Stock,1232737494.0
2020-11-11,Isle Of Grain,lng_terminal,Opening Stock,4704851021.0
2020-11-11,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-11,Aldbrough,ugs,Opening Stock,2413819417.0
2020-11-11,Hornsea,ugs,Opening Stock,2511109555.0
2020-11-11,Holford,ugs,Opening Stock,1947863187.0
2020-11-11,Hill Top,ugs,Opening Stock,333155364.0
2020-11-11,Stublach,ugs,Opening Stock,4827794057.0
2020-11-12,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-12,South Hook,lng_terminal,Opening Stock,2757356531.0
2020-11-12,Dragon,lng_terminal,Opening Stock,1187495449.0
2020-11-12,Isle Of Grain,lng_terminal,Opening Stock,4537284693.0
2020-11-12,Humbly Grove,ugs,Opening Stock,2606143281.0
2020-11-12,Aldbrough,ugs,Opening Stock,2421412809.0
2020-11-12,Hornsea,ugs,Opening Stock,2496499002.0
2020-11-12,Holford,ugs,Opening Stock,1947863187.0
2020-11-12,Hill Top,ugs,Opening Stock,333155364.0
2020-11-12,Stublach,ugs,Opening Stock,4828101999.0
2020-11-13,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-13,South Hook,lng_terminal,Opening Stock,3394416787.0
2020-11-13,Dragon,lng_terminal,Opening Stock,1098236472.0
2020-11-13,Isle Of Grain,lng_terminal,Opening Stock,4995169136.0
2020-11-13,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-13,Aldbrough,ugs,Opening Stock,2421397128.0
2020-11-13,Hornsea,ugs,Opening Stock,2495332460.0
2020-11-13,Holford,ugs,Opening Stock,1947863187.0
2020-11-13,Hill Top,ugs,Opening Stock,330212580.0
2020-11-13,Stublach,ugs,Opening Stock,4814160784.0
2020-11-14,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-14,South Hook,lng_terminal,Opening Stock,3530606319.0
2020-11-14,Dragon,lng_terminal,Opening Stock,1005326004.0
2020-11-14,Isle Of Grain,lng_terminal,Opening Stock,5338009037.0
2020-11-14,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-14,Aldbrough,ugs,Opening Stock,2383311014.0
2020-11-14,Hornsea,ugs,Opening Stock,2512937508.0
2020-11-14,Holford,ugs,Opening Stock,1928675703.0
2020-11-14,Hill Top,ugs,Opening Stock,330212580.0
2020-11-14,Stublach,ugs,Opening Stock,4799522841.0
2020-11-15,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-15,South Hook,lng_terminal,Opening Stock,3448124556.0
2020-11-15,Dragon,lng_terminal,Opening Stock,1006219924.0
2020-11-15,Isle Of Grain,lng_terminal,Opening Stock,5223202646.0
2020-11-15,Humbly Grove,ugs,Opening Stock,2606123281.0
2020-11-15,Aldbrough,ugs,Opening Stock,2464091501.0
2020-11-15,Hornsea,ugs,Opening Stock,2532608738.0
2020-11-15,Holford,ugs,Opening Stock,2018093747.0
2020-11-15,Hill Top,ugs,Opening Stock,362630628.0
2020-11-15,Stublach,ugs,Opening Stock,4853962121.0
2020-11-16,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-11-16,South Hook,lng_terminal,Opening Stock,3365605113.0
2020-11-16,Dragon,lng_terminal,Opening Stock,1006282866.0
2020-11-16,Isle Of Grain,lng_terminal,Opening Stock,5108578231.0
2020-11-16,Humbly Grove,ugs,Opening Stock,2606123281.0
