,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
55,2023-01-02,Germany,160.04999999999998,Germany,-,MWh,EUR,offer,2025,42 Financial Services,Year
56,2023-01-02,Czech_base,157.95,Czech_base,-,MWh,EUR,bid,2025,42 Financial Services,Year
57,2023-01-02,Czech_base,162.54999999999998,Czech_base,-,MWh,EUR,offer,2025,42 Financial Services,Year
58,2023-01-02,Slovak_base,162.95,Slovak_base,-,MWh,EUR,bid,2025,42 Financial Services,Year
59,2023-01-02,Slovak_base,172.54999999999998,Slovak_base,-,MWh,EUR,offer,2025,42 Financial Services,Year
60,2023-01-02,Poland_base_PLN,1099.95,Poland_base_PLN,-,MWh,EUR,bid,2025,42 Financial Services,Year
61,2023-01-02,Poland_base_PLN,1100.05,Poland_base_PLN,-,MWh,EUR,offer,2025,42 Financial Services,Year
62,2023-01-02,Germany,131.05,Germany,-,MWh,EUR,bid,2026,42 Financial Services,Year
63,2023-01-02,Germany,131.15,Germany,-,MWh,EUR,offer,2026,42 Financial Services,Year
64,2023-01-02,Czech_base,129.05,Czech_base,-,MWh,EUR,bid,2026,42 Financial Services,Year
65,2023-01-02,Czech_base,133.65,Czech_base,-,MWh,EUR,offer,2026,42 Financial Services,Year
66,2023-01-02,Slovak_base,134.05,Slovak_base,-,MWh,EUR,bid,2026,42 Financial Services,Year
67,2023-01-02,Slovak_base,143.65,Slovak_base,-,MWh,EUR,offer,2026,42 Financial Services,Year
68,2023-01-02,Germany_Czech_base,-1.0999999999999943,Germany,Czech_base,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
69,2023-01-02,Germany_Czech_base,-0.9000000000000057,Germany,Czech_base,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
70,2023-01-02,Germany_Hungary_base,-22.099999999999994,Germany,Hungary_base,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
71,2023-01-02,Germany_Hungary_base,-21.900000000000006,Germany,Hungary_base,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
72,2023-01-02,Slovak_Hungary_base,-170.04999999999998,Slovak_base,Hungary_base,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
73,2023-01-02,Slovak_Hungary_base,-169.85,Slovak_base,Hungary_base,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
74,2023-01-02,Germany_Czech_base,89.85000000000001,Germany,Czech_base,MWh,EUR,bid,W/END,42 Financial Services,Daily
75,2023-01-02,Germany_Czech_base,90.05,Germany,Czech_base,MWh,EUR,offer,W/END,42 Financial Services,Daily
76,2023-01-02,Germany_Hungary_base,89.85000000000001,Germany,Hungary_base,MWh,EUR,bid,W/END,42 Financial Services,Daily
77,2023-01-02,Germany_Hungary_base,90.05,Germany,Hungary_base,MWh,EUR,offer,W/END,42 Financial Services,Daily
