,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
47,2023-01-02,TTF,76.8,TTF,-,MWh,EUR,bid,APR23,42 Financial Services,Month
48,2023-01-02,TTF,77.3,TTF,-,MWh,EUR,offer,APR23,42 Financial Services,Month
49,2023-01-02,Czech VTP,80.6,Czech VTP,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
50,2023-01-02,Czech VTP,82.825,Czech VTP,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
51,2023-01-02,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
52,2023-01-02,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
53,2023-01-02,VTP_TTF,0.3,Austria VTP,TTF,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
54,2023-01-02,THE VTP,80.1,THE VTP,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
55,2023-01-02,THE VTP,81.325,THE VTP,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
56,2023-01-02,SK VTP_CEGH,0.5,Slovak VTP,Austria VTP,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
57,2023-01-02,THE_TTF,1.1,THE VTP,TTF,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
58,2023-01-02,THE_TTF,2.0,THE VTP,TTF,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
59,2023-01-02,TTF,79.0,TTF,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
60,2023-01-02,TTF,79.325,TTF,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
61,2023-01-02,Czech VTP,79.4,Czech VTP,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
62,2023-01-02,Czech VTP,86.72500000000001,Czech VTP,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
63,2023-01-02,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
64,2023-01-02,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
65,2023-01-02,VTP_TTF,-0.325,Austria VTP,TTF,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
66,2023-01-02,THE VTP,78.9,THE VTP,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
67,2023-01-02,THE VTP,85.22500000000001,THE VTP,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
68,2023-01-02,THE_TTF,0.2,THE VTP,TTF,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
69,2023-01-02,THE_TTF,5.9,THE VTP,TTF,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
70,2023-01-02,TTF,78.7,TTF,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
71,2023-01-02,TTF,79.325,TTF,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
72,2023-01-02,Czech VTP,87.5,Czech VTP,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
73,2023-01-02,Czech VTP,89.95,Czech VTP,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
74,2023-01-02,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
75,2023-01-02,Czech Virtual Point_THE,2.0,Czech VTP,THE VTP,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
76,2023-01-02,VTP_TTF,-0.45,Austria VTP,TTF,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
77,2023-01-02,THE VTP,86.5,THE VTP,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
78,2023-01-02,THE VTP,87.95,THE VTP,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
79,2023-01-02,THE_TTF,3.0,THE VTP,TTF,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
80,2023-01-02,THE_TTF,3.45,THE VTP,TTF,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
81,2023-01-02,TTF,83.5,TTF,-,MWh,EUR,bid,Q4/23,42 Financial Services,Quarter
82,2023-01-02,TTF,84.5,TTF,-,MWh,EUR,offer,Q4/23,42 Financial Services,Quarter
83,2023-01-02,Czech VTP,84.145,Czech VTP,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
84,2023-01-02,Czech VTP,85.22500000000001,Czech VTP,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
85,2023-01-02,Czech Virtual Point_THE,1.25,Czech VTP,THE VTP,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
86,2023-01-02,Czech Virtual Point_THE,2.2,Czech VTP,THE VTP,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
87,2023-01-02,THE VTP,82.895,THE VTP,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
88,2023-01-02,THE VTP,83.025,THE VTP,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
89,2023-01-02,THE_TTF,2.35,THE VTP,TTF,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
90,2023-01-02,TTF,80.545,TTF,-,MWh,EUR,bid,Q1/24,42 Financial Services,Quarter
91,2023-01-02,TTF,83.025,TTF,-,MWh,EUR,offer,Q1/24,42 Financial Services,Quarter
92,2023-01-02,Czech VTP,79.753,Czech VTP,-,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
93,2023-01-02,Czech VTP,81.417,Czech VTP,-,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
94,2023-01-02,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
95,2023-01-02,Czech Virtual Point_THE,1.5,Czech VTP,THE VTP,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
96,2023-01-02,VTP_TTF,-0.5,Austria VTP,TTF,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
97,2023-01-02,THE VTP,79.253,THE VTP,-,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
98,2023-01-02,THE VTP,79.917,THE VTP,-,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
99,2023-01-02,SK VTP_CEGH,0.5,Slovak VTP,Austria VTP,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
100,2023-01-02,SK VTP_CEGH,2.0,Slovak VTP,Austria VTP,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
101,2023-01-02,THE_TTF,1.2,THE VTP,TTF,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
102,2023-01-02,THE_TTF,1.4,THE VTP,TTF,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
103,2023-01-02,TTF,78.053,TTF,-,MWh,EUR,bid,Sum 2023,42 Financial Services,Season
104,2023-01-02,TTF,78.517,TTF,-,MWh,EUR,offer,Sum 2023,42 Financial Services,Season
105,2023-01-02,Czech VTP,84.237,Czech VTP,-,MWh,EUR,bid,Win 2023/2024,42 Financial Services,Season
106,2023-01-02,Czech VTP,85.441,Czech VTP,-,MWh,EUR,offer,Win 2023/2024,42 Financial Services,Season
107,2023-01-02,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,bid,Win 2023/2024,42 Financial Services,Season
108,2023-01-02,Czech Virtual Point_THE,2.2,Czech VTP,THE VTP,MWh,EUR,offer,Win 2023/2024,42 Financial Services,Season
109,2023-01-02,THE VTP,83.237,THE VTP,-,MWh,EUR,bid,Win 2023/2024,42 Financial Services,Season
110,2023-01-02,THE VTP,83.241,THE VTP,-,MWh,EUR,offer,Win 2023/2024,42 Financial Services,Season
111,2023-01-02,THE_TTF,2.6,THE VTP,TTF,MWh,EUR,bid,Win 2023/2024,42 Financial Services,Season
112,2023-01-02,TTF,80.637,TTF,-,MWh,EUR,bid,Win 2023/2024,42 Financial Services,Season
113,2023-01-02,TTF,83.241,TTF,-,MWh,EUR,offer,Win 2023/2024,42 Financial Services,Season
114,2023-01-02,Czech VTP,78.25,Czech VTP,-,MWh,EUR,bid,2024,42 Financial Services,Year
115,2023-01-02,Czech VTP,81.7,Czech VTP,-,MWh,EUR,offer,2024,42 Financial Services,Year
116,2023-01-02,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,bid,2024,42 Financial Services,Year
117,2023-01-02,Czech Virtual Point_THE,2.5,Czech VTP,THE VTP,MWh,EUR,offer,2024,42 Financial Services,Year
118,2023-01-02,THE VTP,77.25,THE VTP,-,MWh,EUR,bid,2024,42 Financial Services,Year
119,2023-01-02,THE VTP,79.2,THE VTP,-,MWh,EUR,offer,2024,42 Financial Services,Year
120,2023-01-02,THE_TTF,2.75,THE VTP,TTF,MWh,EUR,bid,2024,42 Financial Services,Year
121,2023-01-02,THE_TTF,3.7,THE VTP,TTF,MWh,EUR,offer,2024,42 Financial Services,Year
